time_step,fair_value,bid_price,ask_price,spread,order_type,trade_executed,trade_size,starting_inventory,ending_inventory,inventory,starting_cash,ending_cash,cash,pnl
1,100.27885359691577,99.27885359691577,101.27885359691577,2.0,buy,True,1,0,-1,-1,0.0,101.27885359691577,101.27885359691577,1.0
2,99.72527507321341,98.8252750732134,100.8252750732134,2.0,none,False,0,-1,-1,-1,101.27885359691577,101.27885359691577,101.27885359691577,1.553578523702356
3,100.07867404805923,99.17867404805922,101.17867404805922,2.0,none,False,0,-1,-1,-1,101.27885359691577,101.27885359691577,101.27885359691577,1.2001795488565392
4,99.25255171331806,98.35255171331805,100.35255171331805,2.0,buy,True,1,-1,-2,-2,101.27885359691577,201.63140531023382,201.63140531023382,3.126301883597705
5,98.68982766292527,97.88982766292527,99.88982766292527,2.0,buy,True,1,-2,-3,-3,201.63140531023382,301.5212329731591,301.5212329731591,5.451749984383298
6,98.08750296429857,97.38750296429856,99.38750296429856,2.0,sell,True,1,-3,-2,-2,301.5212329731591,204.13373000886054,204.13373000886054,7.9587240802634085
7,97.52838420837996,96.72838420837996,98.72838420837996,2.0,sell,True,1,-2,-1,-1,204.13373000886054,107.40534580048057,107.40534580048057,9.876961592100614
8,96.54138172773608,95.64138172773607,97.64138172773607,2.0,none,False,0,-1,-1,-1,107.40534580048057,107.40534580048057,107.40534580048057,10.863964072744494
9,96.93766051771253,96.03766051771252,98.03766051771252,2.0,buy,True,1,-1,-2,-2,107.40534580048057,205.4430063181931,205.4430063181931,11.567685282768053
10,97.8520866621261,97.0520866621261,99.0520866621261,2.0,buy,True,1,-2,-3,-3,205.4430063181931,304.4950929803192,304.4950929803192,10.938832993940935
11,97.04551941579302,96.34551941579302,98.34551941579302,2.0,none,False,0,-3,-3,-3,304.4950929803192,304.4950929803192,304.4950929803192,13.358534732940143
12,97.2529714785268,96.5529714785268,98.5529714785268,2.0,none,False,0,-3,-3,-3,304.4950929803192,304.4950929803192,304.4950929803192,12.736178544738777
13,97.71243505191444,97.01243505191444,99.01243505191444,2.0,sell,True,1,-3,-2,-2,304.4950929803192,207.48265792840476,207.48265792840476,12.057787824575882
